counting_method,target_dilution_fraction,measured_dilution_fraction,random_sample_number,rep_obsv,cell_conc,raw_count,percent_viable_cells,time_elapsed,cell_type,concentration_type,stock_solution,starting_soln_conc,stock_extraction,replicate_sample,analyst
Method 1,0.1,0.0976,15,1,255000,NA,83.1,218,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 1,0.1,0.0976,15,2,268000,NA,76.9,221,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 1,0.1,0.0976,15,3,265000,NA,81.5,224,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 1,0.1,0.0989,17,1,271000,NA,81.9,236,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 1,0.1,0.0989,17,2,303000,NA,81.2,239,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 1,0.1,0.0989,17,3,290000,NA,76.2,272,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 1,0.1,0.0955,12,1,269000,NA,82.2,191,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 1,0.1,0.0955,12,2,278000,NA,76.3,194,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 1,0.1,0.0955,12,3,274000,NA,78.8,197,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 1,0.1,0.0995,13,1,325000,NA,76.6,200,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 1,0.1,0.0995,13,2,326000,NA,81.3,203,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 1,0.1,0.0995,13,3,283000,NA,79.5,206,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 1,0.3,0.2969,2,1,824000,NA,76.9,102,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 1,0.3,0.2969,2,2,848000,NA,72.8,105,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 1,0.3,0.2969,2,3,789000,NA,75.0,108,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 1,0.3,0.2969,18,1,899000,NA,77.8,245,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 1,0.3,0.2969,18,2,878000,NA,80.3,248,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 1,0.3,0.2969,18,3,820000,NA,76.0,251,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 1,0.3,0.2976,1,1,904000,NA,72.7,93,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 1,0.3,0.2976,1,2,812000,NA,75.5,96,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 1,0.3,0.2976,1,3,786000,NA,73.8,99,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 1,0.3,0.3015,19,1,811000,NA,78.3,254,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 1,0.3,0.3015,19,2,847000,NA,75.7,257,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 1,0.3,0.3015,19,3,826000,NA,79.3,260,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 1,0.5,0.4996,7,1,1360000,NA,75.7,147,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 1,0.5,0.4996,7,2,1420000,NA,77.5,150,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 1,0.5,0.4996,7,3,1400000,NA,75.7,153,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 1,0.5,0.5004,4,1,1400000,NA,76.4,120,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 1,0.5,0.5004,4,2,1320000,NA,75.1,123,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 1,0.5,0.5004,4,3,1410000,NA,74.5,126,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 1,0.5,0.4983,3,1,1340000,NA,72.6,111,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 1,0.5,0.4983,3,2,1320000,NA,73.8,114,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 1,0.5,0.4983,3,3,1360000,NA,74.3,117,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 1,0.5,0.5007,5,1,1310000,NA,74.7,129,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 1,0.5,0.5007,5,2,1330000,NA,75.9,132,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 1,0.5,0.5007,5,3,1340000,NA,74.6,135,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 1,0.7,0.7003,10,1,1930000,NA,76.2,174,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 1,0.7,0.7003,10,2,1930000,NA,72.5,177,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 1,0.7,0.7003,10,3,1830000,NA,76.0,180,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 1,0.7,0.7006,6,1,1880000,NA,72.9,138,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 1,0.7,0.7006,6,2,1860000,NA,73.1,141,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 1,0.7,0.7006,6,3,1870000,NA,72.7,144,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 1,0.7,0.6995,11,1,1860000,NA,76.3,183,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 1,0.7,0.6995,11,2,1870000,NA,74.9,186,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 1,0.7,0.6995,11,3,1890000,NA,74.6,188,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 1,0.7,0.7011,9,1,1860000,NA,75.3,165,Jurkat,total_cell_conc,1,2276667,16,4,2
Method 1,0.7,0.7011,9,2,2000000,NA,74.0,168,Jurkat,total_cell_conc,1,2276667,16,4,2
Method 1,0.7,0.7011,9,3,1900000,NA,76.3,171,Jurkat,total_cell_conc,1,2276667,16,4,2
Method 1,0.9,0.8995,14,1,2400000,NA,75.0,209,Jurkat,total_cell_conc,1,2276667,17,1,2
Method 1,0.9,0.8995,14,2,2360000,NA,75.4,212,Jurkat,total_cell_conc,1,2276667,17,1,2
Method 1,0.9,0.8995,14,3,2390000,NA,76.2,215,Jurkat,total_cell_conc,1,2276667,17,1,2
Method 1,0.9,0.9009,16,1,2500000,NA,76.8,227,Jurkat,total_cell_conc,1,2276667,18,2,2
Method 1,0.9,0.9009,16,2,2370000,NA,75.1,230,Jurkat,total_cell_conc,1,2276667,18,2,2
Method 1,0.9,0.9009,16,3,2540000,NA,74.8,233,Jurkat,total_cell_conc,1,2276667,18,2,2
Method 1,0.9,0.9011,8,1,2450000,NA,72.2,156,Jurkat,total_cell_conc,1,2276667,19,3,2
Method 1,0.9,0.9011,8,2,2450000,NA,75.1,159,Jurkat,total_cell_conc,1,2276667,19,3,2
Method 1,0.9,0.9011,8,3,2410000,NA,73.4,162,Jurkat,total_cell_conc,1,2276667,19,3,2
Method 1,0.9,0.9022,20,1,2460000,NA,76.0,263,Jurkat,total_cell_conc,1,2276667,20,4,2
Method 1,0.9,0.9022,20,2,2460000,NA,75.6,266,Jurkat,total_cell_conc,1,2276667,20,4,2
Method 1,0.9,0.9022,20,3,2440000,NA,72.1,269,Jurkat,total_cell_conc,1,2276667,20,4,2
Method 2,0.1,0.0976,15,1,156300,NA,32.2,53,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 2,0.1,0.0976,15,2,156100,NA,43.6,54,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 2,0.1,0.0976,15,3,183300,NA,42.7,56,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 2,0.1,0.0989,17,1,196800,NA,38.0,60,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 2,0.1,0.0989,17,2,109200,NA,39.1,62,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 2,0.1,0.0989,17,3,211400,NA,33.8,63,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 2,0.1,0.0955,12,1,176900,NA,34.4,45,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 2,0.1,0.0955,12,2,165700,NA,32.4,46,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 2,0.1,0.0955,12,3,219200,NA,37.5,46,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 2,0.1,0.0995,13,1,154400,NA,30.1,48,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 2,0.1,0.0995,13,2,215300,NA,33.1,48,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 2,0.1,0.0995,13,3,225200,NA,31.6,49,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 2,0.3,0.2969,2,1,556000,NA,33.8,13,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 2,0.3,0.2969,2,2,531000,NA,40.7,14,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 2,0.3,0.2969,2,3,520000,NA,31.3,15,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 2,0.3,0.2969,18,1,531000,NA,40.1,64,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 2,0.3,0.2969,18,2,620000,NA,39.0,65,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 2,0.3,0.2969,18,3,422000,NA,30.3,66,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 2,0.3,0.2976,1,1,579000,NA,36.6,10,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 2,0.3,0.2976,1,2,495000,NA,34.9,11,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 2,0.3,0.2976,1,3,560000,NA,33.0,12,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 2,0.3,0.3015,19,1,429000,NA,34.7,67,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 2,0.3,0.3015,19,2,591000,NA,33.7,68,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 2,0.3,0.3015,19,3,443000,NA,32.1,69,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 2,0.5,0.4996,7,1,968000,NA,36.4,29,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 2,0.5,0.4996,7,2,1001000,NA,36.7,30,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 2,0.5,0.4996,7,3,928000,NA,38.6,31,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 2,0.5,0.5004,4,1,957000,NA,37.8,19,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 2,0.5,0.5004,4,2,808000,NA,32.1,21,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 2,0.5,0.5004,4,3,1024000,NA,38.9,22,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 2,0.5,0.4983,3,1,895000,NA,33.2,16,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 2,0.5,0.4983,3,2,920000,NA,34.2,17,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 2,0.5,0.4983,3,3,1129000,NA,40.2,18,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 2,0.5,0.5007,5,1,1064000,NA,35.9,23,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 2,0.5,0.5007,5,2,997000,NA,37.6,24,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 2,0.5,0.5007,5,3,1028000,NA,36.7,25,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 2,0.7,0.7003,10,1,1210000,NA,33.6,39,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 2,0.7,0.7003,10,2,1360000,NA,33.5,40,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 2,0.7,0.7003,10,3,1249000,NA,35.0,40,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 2,0.7,0.7006,6,1,1251000,NA,37.3,26,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 2,0.7,0.7006,6,2,1201000,NA,37.1,27,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 2,0.7,0.7006,6,3,1195000,NA,33.9,28,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 2,0.7,0.6995,11,1,1432000,NA,35.4,42,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 2,0.7,0.6995,11,2,1324000,NA,33.2,43,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 2,0.7,0.6995,11,3,1415000,NA,40.4,44,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 2,0.7,0.7011,9,1,1269000,NA,40.7,35,Jurkat,total_cell_conc,1,2276667,16,4,2
Method 2,0.7,0.7011,9,2,1244000,NA,36.2,36,Jurkat,total_cell_conc,1,2276667,16,4,2
Method 2,0.7,0.7011,9,3,1481000,NA,38.0,37,Jurkat,total_cell_conc,1,2276667,16,4,2
Method 2,0.9,0.8995,14,1,1567000,NA,38.7,50,Jurkat,total_cell_conc,1,2276667,17,1,2
Method 2,0.9,0.8995,14,2,1724000,NA,34.5,51,Jurkat,total_cell_conc,1,2276667,17,1,2
Method 2,0.9,0.8995,14,3,1590000,NA,33.3,52,Jurkat,total_cell_conc,1,2276667,17,1,2
Method 2,0.9,0.9009,16,1,1538000,NA,37.9,57,Jurkat,total_cell_conc,1,2276667,18,2,2
Method 2,0.9,0.9009,16,2,1622000,NA,35.3,58,Jurkat,total_cell_conc,1,2276667,18,2,2
Method 2,0.9,0.9009,16,3,1529000,NA,33.9,59,Jurkat,total_cell_conc,1,2276667,18,2,2
Method 2,0.9,0.9011,8,1,2251000,NA,35.6,32,Jurkat,total_cell_conc,1,2276667,19,3,2
Method 2,0.9,0.9011,8,2,1894000,NA,34.5,33,Jurkat,total_cell_conc,1,2276667,19,3,2
Method 2,0.9,0.9011,8,3,1578000,NA,36.0,34,Jurkat,total_cell_conc,1,2276667,19,3,2
Method 2,0.9,0.9022,20,1,1588000,NA,35.8,70,Jurkat,total_cell_conc,1,2276667,20,4,2
Method 2,0.9,0.9022,20,2,1509000,NA,35.0,71,Jurkat,total_cell_conc,1,2276667,20,4,2
Method 2,0.9,0.9022,20,3,1478000,NA,32.5,72,Jurkat,total_cell_conc,1,2276667,20,4,2
Method 3,0.1,0.0976,15,1,149795.7331,NA,51.5,103,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 3,0.1,0.0976,15,2,202451.2029,NA,50.0,103,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 3,0.1,0.0976,15,3,196550.1589,NA,52.9,104,Jurkat,total_cell_conc,1,2276667,1,1,2
Method 3,0.1,0.0989,17,1,228325.0113,NA,53.7,106,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 3,0.1,0.0989,17,2,224239.6732,NA,53.6,107,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 3,0.1,0.0989,17,3,232864.276,NA,57.7,107,Jurkat,total_cell_conc,1,2276667,2,2,2
Method 3,0.1,0.0955,12,1,191556.9678,NA,54.3,99,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 3,0.1,0.0955,12,2,229232.8643,NA,52.3,100,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 3,0.1,0.0955,12,3,186109.8502,NA,56.6,100,Jurkat,total_cell_conc,1,2276667,3,3,2
Method 3,0.1,0.0995,13,1,163413.527,NA,51.4,100,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 3,0.1,0.0995,13,2,189741.2619,NA,52.9,100,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 3,0.1,0.0995,13,3,173399.9092,NA,45.5,101,Jurkat,total_cell_conc,1,2276667,4,4,2
Method 3,0.3,0.2969,2,1,757149.3418,NA,45.2,82,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 3,0.3,0.2969,2,2,742623.695,NA,43.9,82,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 3,0.3,0.2969,2,3,760326.8271,NA,44.2,82,Jurkat,total_cell_conc,1,2276667,5,1,2
Method 3,0.3,0.2969,18,1,713572.4013,NA,56.4,107,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 3,0.3,0.2969,18,2,797094.8706,NA,57.7,107,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 3,0.3,0.2969,18,3,670449.3872,NA,58.6,108,Jurkat,total_cell_conc,1,2276667,6,2,2
Method 3,0.3,0.2976,1,1,649114.8434,NA,46.1,81,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 3,0.3,0.2976,1,2,660463.005,NA,42.2,81,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 3,0.3,0.2976,1,3,694507.4898,NA,44.4,81,Jurkat,total_cell_conc,1,2276667,7,3,2
Method 3,0.3,0.3015,19,1,422151.6114,NA,56.0,108,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 3,0.3,0.3015,19,2,494779.8457,NA,60.5,108,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 3,0.3,0.3015,19,3,586472.9914,NA,40.5,112,Jurkat,total_cell_conc,1,2276667,8,4,2
Method 3,0.5,0.4996,7,1,1074443.94,NA,49.6,89,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 3,0.5,0.4996,7,2,1094416.704,NA,50.1,90,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 3,0.5,0.4996,7,3,1075805.719,NA,47.5,90,Jurkat,total_cell_conc,1,2276667,9,1,2
Method 3,0.5,0.5004,4,1,733999.0921,NA,42.4,85,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 3,0.5,0.5004,4,2,969586.9269,NA,46.0,86,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 3,0.5,0.5004,4,3,920562.8688,NA,44.5,86,Jurkat,total_cell_conc,1,2276667,10,2,2
Method 3,0.5,0.4983,3,1,1158420.336,NA,44.2,83,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 3,0.5,0.4983,3,2,1102587.381,NA,46.2,83,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 3,0.5,0.4983,3,3,1102133.454,NA,46.8,83,Jurkat,total_cell_conc,1,2276667,11,3,2
Method 3,0.5,0.5007,5,1,884702.6782,NA,43.1,86,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 3,0.5,0.5007,5,2,935542.4421,NA,45.1,86,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 3,0.5,0.5007,5,3,917839.31,NA,45.2,86,Jurkat,total_cell_conc,1,2276667,12,4,2
Method 3,0.7,0.7003,10,1,1163413.527,NA,48.0,93,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 3,0.7,0.7003,10,2,1278710.849,NA,46.1,94,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 3,0.7,0.7003,10,3,1406718.112,NA,47.3,94,Jurkat,total_cell_conc,1,2276667,13,1,2
Method 3,0.7,0.7006,6,1,1046754.426,NA,39.1,87,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 3,0.7,0.7006,6,2,1338629.142,NA,40.5,89,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 3,0.7,0.7006,6,3,1397185.656,NA,42.9,89,Jurkat,total_cell_conc,1,2276667,14,2,2
Method 3,0.7,0.6995,11,1,1170676.35,NA,43.0,94,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 3,0.7,0.6995,11,2,1216068.997,NA,41.4,95,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 3,0.7,0.6995,11,3,1332274.172,NA,44.9,99,Jurkat,total_cell_conc,1,2276667,15,3,2
Method 3,0.7,0.7011,9,1,1070358.602,NA,37.0,92,Jurkat,total_cell_conc,1,2276667,16,4,2
Method 3,0.7,0.7011,9,2,1205628.688,NA,43.9,93,Jurkat,total_cell_conc,1,2276667,16,4,2
Method 3,0.7,0.7011,9,3,1280526.555,NA,43.2,93,Jurkat,total_cell_conc,1,2276667,16,4,2
Method 3,0.9,0.8995,14,1,1399909.215,NA,43.7,101,Jurkat,total_cell_conc,1,2276667,17,1,2
Method 3,0.9,0.8995,14,2,1518837.948,NA,47.8,103,Jurkat,total_cell_conc,1,2276667,17,1,2
Method 3,0.9,0.8995,14,3,1379028.597,NA,48.1,103,Jurkat,total_cell_conc,1,2276667,17,1,2
Method 3,0.9,0.9009,16,1,1472991.375,NA,41.6,104,Jurkat,total_cell_conc,1,2276667,18,2,2
Method 3,0.9,0.9009,16,2,1701770.313,NA,45.5,104,Jurkat,total_cell_conc,1,2276667,18,2,2
Method 3,0.9,0.9009,16,3,1579210.168,NA,41.7,105,Jurkat,total_cell_conc,1,2276667,18,2,2
Method 3,0.9,0.9011,8,1,1624602.814,NA,43.0,90,Jurkat,total_cell_conc,1,2276667,19,3,2
Method 3,0.9,0.9011,8,2,1629596.005,NA,45.0,91,Jurkat,total_cell_conc,1,2276667,19,3,2
Method 3,0.9,0.9011,8,3,1438946.891,NA,42.9,91,Jurkat,total_cell_conc,1,2276667,19,3,2
Method 3,0.9,0.9022,20,1,1646391.285,NA,37.2,112,Jurkat,total_cell_conc,1,2276667,20,4,2
Method 3,0.9,0.9022,20,2,2016795.279,NA,36.5,113,Jurkat,total_cell_conc,1,2276667,20,4,2
Method 3,0.9,0.9022,20,3,2024058.103,NA,37.0,113,Jurkat,total_cell_conc,1,2276667,20,4,2
